pid,score_plain,score_enc
33,2,424658713648930381172742992807793482819194872249167451814305767436930459115440122277682152795781347248541755091645085098667217929981899461100979539533281102660125924474053657659247305787654225628267822585372422960123640050488136750225597785112728718184902014240513273211800356734501295987062503183686008872804174582662650893046525277058318828813629224453478389412049402305878488352702461727945378405947931445423083656928456811612448843275717776182306021871605292964060290752543141508991116879141480998198049612177847919508741754149467132688818432198471755768682443777439641373019302958406781918547000415028325204256498186887065369086222663070795073622021353351358292019466215825810204125623042043446848878909310502516777784012757516116280397159925098908338343761949942813678586256717916195641245134501501522014162178769289153280682850527691867262647108907224151285711599648763864390885892388434744947722701324654765233198569330559602184631418722137771828023716995149076984906614453934683983994186187595179076311409701915405105167781299712949120375157020588772258316962962222528903842580519511219527889433021683529095031024885922451979824708473030501440318790250260426037247354313591360125246158719250536480892342130418092812769505482
34,4,336320577555432810968397790083455210342668887943232682698227162323328215275941633314506703966121177201340444428500826617341271474629099117412614739914594393286552657709205718187541679309183259739183313965153277449925538212895215890130584680332709006750337903375482847586041822421893795464080806124064459221440636555037194754493191500627403423922176163445623865864836058452351380608227905737402000191176788726769864764158550979556526820730366745870854410605057013013798587390493366286712913340066318447648773893643967450701355975994016958056316515696995590779379703384799101065841367591633586937309612243508709903123214532701060356731724886525630911315667784638673279504294016431419941918781002868258188632618871783286242512020444724226524073665845817848602157956940534627972602707568371902322526988202917088270845158972838085225285109714214810744731920908863858922456562122616403840313868184976066227690794042020915331713184914941958560308788006330974474226164987078684765531292871417105965010672834787695951920027676202319975944672703593941258624677346465505552248768384377357134436559505761619301322019269598932461358569357336468661607930727630721558343374282570882017017218951440935380725547908171650662666700396520361602478796150
35,4,44871654779298863121821565946780277200402188030786164728930067203874751819202154678065857622498333753726559329037076298572232698434166567930755354023988946820264500875279468346862683477576999761421873629163788757109158700083099415088719441194154066719336054087373999277496211978704243187248687638306188388431921494525791009370085622190902602009095728557876535303912498087171484187537047864898022484961691746240464166971424210318610471497323819559065963718492220860726708107432816226542151433568975750076670471700743813564743715682308667569349430409574283646471015767643344267509757342395399765943349603469238638851699344218076825468969388128971542235753719596569237953657933753536848465987217019204381452250620924160335085174924768458128320363767651344754699002113399239657915460622345135747197548331504947348759644709333509217921242030273776142024702913245743102579344861969681448244599146287536356023945869439730096286067494467558528590890631465601572926029393108436408329427882641240541285894557917758473371802665824391748763955621778195712285950965438363649747292367744565769299463606469715079743155381480585720447943002517353859621825162692923144861744636895464585542627423703892367080189938887613211440022057858119888614611829
36,2,143405171419922403166365580204789862923925785467695584335178074705513055231898580119628307028889423370019933987511475967842048367095527021961464609591329794158414435957466138611524115951309758335702176854290361313635736599304397648607366938306028473993224680128065708116543133062181092099290850650348045538389418296191911741463524231312038885496574346403370943061470210831394126352097649795053179790569541507687371126296552043404475825306150440917343203343216594036686029997423576996664611466809247406700962725797941525799833618236791830565961005651046673179329715062249224888642100598784005645218531234596154534553549890041492360239038031093622866417413296401388760228548419805210250051341256024073108457785054730849497788574496373129575663903496078119689730079482763483550225779493663760584271458761004380471426761694727493414420783503552889755362600990831958378281450884435450297689758182969942445536294216886530615281936905045642189710165926705711413017100627498985546394955036120889355531304927000571469776841710193029262611907441615280013014419314849752335795316082262273222747450448715682663680209425492183298158888553841644048855523993148901585318821916626513937778118905490647240491118120631515166607062360743050356519041169
37,4,195056633293807085420562862196967041009223585559583607396422258871235059015934921204088467270894873051150135655645664452772015568642877987173980168298792938817143131323137808542862677089633650222449208076625401994653543869472701293284878914607155526338490988828316477706872243165569584434732216385580242237778723817872085746635381996311173767033770311212844108084149641928957710722393818302399046299374640966523691962786107537320999216603065867100031093684638293466975381203651798853356795807964944873031475118455839349707230629005842923357377815043981356535986708814153817882008089137140939126572800619263265508620731205807860484505818601177487742010869397811322868777171775387958714733880631423505758521528132995610228486140695239621977785316245323719340423561255099604888167765307117872409091136580001262259144533330991352357783736250552502262082715911749283937561125502383992191619443687000292989988381195215764258371555166577390386488794112102410811672920142641248724374809448996540513372640529269969640741109058081808268645719643567090483086745760308412194322465938106876451893828430617009537841865306186998753455602879282900117771630616818840169874535699765079350355935482541607681131427327410607688820124102553239937702812625
38,1,386892703062371424419960307767822141615965377226218502974375465506741343907089970310124487789826096204743626274893507776778550311368958398483356907699061100627526354721878863459024643186236943217918748953995347409245156841263939482880786618418739442329833186299317635360945590952934958776928875439355038229133749091422818311261442666144368017554776001788958728688189117817479344575688518040925410517071777446876437896965926270475046150473138917145232131859913557974129792197206790013825551792822952298879928080860319578282468730934298872702874215301847347072975146106114742542461319593539794223484493454404194472606924159907264943778836890708025323161096773872491469216692390523052125089652273863495754656313046716637278836371220861189069636016762389450063222547909462241812187650147653631544636459112324127347848405094474592000417365223695583094020465008161873718022400336552312333560030993977769329430704747939202805209845453289438797870841655430229718443135413905934346133053087858954826139258837354029499866246263827208487388526134652529313286825726723713687911027256068335110730373325488695349214077519863035648537949599749280989666941019410936139259101258942196991037044316129537238330501947090448314366659711272886596794074665
39,2,77442758104110068374943818825204113012868339788698380650319895268893046981919082960754023499784203040025659458501898811091178915113657559325196514853616966839410590985103182380883834221877688140006743078436674125290362682722504186986197822357624326044559303343521290596430420905937904322685095689429784844406201318284513783066156379451402108202441134164675545292597537323978654683583327622480245366344010920262130540810448851256104632618969367643289039367600015299362902492714143021373816096799880096436623672797702703040863103045138050417595193222802950811093020928952461780077157098529761121344497960830211941587476997387691762744175961652736809851013770479895607914888080607261411846002431912976509118884431289604740383488821949662743369717181631342513949333307496164674531164734813063070737468335061940878393797847602368374808243564875432713729035294491899112759920839129773301717231107691607916827204832238596790833671877036666854597870733489445831854311039150050252497768980514460634390091568808217011078444364577907833597879444576561029950173890394027489666624941171907801446645920010517311887713344153426795687879358570928481486618318444306910342712870042877805099303434346551712291809317707244117242701098315662774036795832
40,3,387564010207745949755597176293460052422105964780822131931049572840786466327474913616275454191365735048203627688430644121399644270498739533868621266105011635326498130970062010825635156016703484939508717048740483096434947030122546710266281953347812589646253625209983501214437356317093872806015696767243130316261469735567261939863006195522871985527968814187665494788441045239551075023974314398717591601206264199949228905654572281811934293049851513680088008278717048474816971462407631175259018840273239095042003824765371526429655773253620259913216213726593750194035364679178069591102699198493517827334254603959688176947609904642465552631488048002741265712000058556527446517925725355626897912458789449002750156390472063658044065867570070540095099367302250368151786976852419339458283090987277029029071597999460930421569901245743111170933441448802086685294915388630988609233371279108745694394669184479458672802436078079258379304628436146452383455236309914288836365946349922858949050841704709556960981995543410264138630014147538724227474340078364485027565376285103785430308580322920929692556926418606044564295015230820257988877584337633662522653332619760405655957547779085112463177166894630790438681738091334019782903034274456710199994403607
41,1,545422052634471355650261339454214936704874172565565236137454326403371600095219462654536543369250939147464604526047697195886700032588720005435063935527663884926934637642440227311154449160977660250189780971091656955574104790112204210656410002284086803583664899068503981513108718034197821316822399888119732975177847947933821184538224811653479059892143977569677259485877082066186397330074428716719576714922568139942577537210682364256188396114818308900713129586696876367593335018579953061366985804908531345831717982167191208166075659848565925844733752763461434183152150267556618172715355014184339920896308317718311167243898920787702328356671006290975146855276296341984798275494830421324927067450226709934966805186401707344235267423538317654474597412682929635288351907564228427194262458065607839614272032778990138455217769470163002175850884178690824514554375049053344932287587466364730427204211870337829237457194723872913876349919846265805774911124875072941117016385682256820519047844544259081265359981193249855725614689645332758505640305691804129193139593921997942705333208382831844192768488122277452244781508356501677781424182257073115318913363855000287098434936796261756435245053192847089932073849944035633908530266408339443984518989226
42,5,131187397050955676751139972324679600138699533325957747223144905223058082115398071556153119273100474908993091243106701626647988381136889325386838275734019371837860494746038348454917494671883093846246998071925389995283292867423160118311899346934040760458447593420519315060580152437793283982930037976696957846729668392005108307100897807441188932697876554357750380866145152656944283876362511493266598236544402688977826028725470108104417969133572291746487848588764227623088288245316929948565682515046546758606492069633834650538548363612409312395663936146951885659670339578831004549064371106196239344369566731212342781091943228783499820662520344828293836807405544529039806807760436011158507127042394098375267802941771370593109613074566694843159306501007563297695809433640996322432678230113098707136423332858685248322423349567111770517251411796518825046889011796277814867347531920702372774659084216180333106127408098448137892377741263342029020324542016621138868902829289960034124960930634519369243382507459915464107654851550691784756777518403101834112987270810862632934337201517372521567378344803861903505185704231928187224115484685253186109684814759711620465581314259676554257632109167305458216825762322690628064187764085426562083244258268
43,1,259504805536116732161363461504567518930878532664380387694970106369899165021832017797841451287187334834668154625600244494216802409588233010210737570720100212761798269209366087608543351987164492055526139785754747111006744749931487012841693051719864154816855831660061236584560339456077418349115889174364831372847977243284768430847475236473327928213443720558963361731140798473750340951992132945079624899273705437935663192138765359270346110457228506786816969038726853926179183537605928262208599102173626787224959027538009091268566934034754551519286329077339702343657500729602313123133039537470161532727344091182695034133775862487498399052956264527290317501993665501805798468676097456027006899175311394280616579451557998723693595163903929791528686380252719618276527058070082949885908937070163274722582926855470227299288948420683563405293586820923088617613153795818379488022773296475668607137014647850631442936295143935764411697644965882248512443583934274847532888565659334344397523438690413469407857579993550876505456003726546529664885412641734703167365826313396939403553784752726458349563176109471125942458433313510889548602705276567548129064571789071121702424029018304799249116350142147377572141877244333524508908584802314863593707113460
44,3,201997749158698711539433800802588269228572860339294969213982708765592731654827551102688042908352099541147867293984794061605177584321847363091780823442589979554897901802875341267658159314362056178389338960283729430867789557971114747125506747930813137245504386779594383021426145807488378546757225199065563789279928456972351063554599305856291261666246168979557194641186271814145011762175236537040749925051885552818236911850548205065660425791140383512445154194501572218100119775485145704848463986974409780221496918918117725879774672473443373600877389768199493171520099958349549542049469622322303310250030328202618614964445564659385351494546401155336989937363907744804342905572685731631959032254132250494561996486940655046947530672046548434436127136689895808338161539425191951191988964081145529841257304162097023844613025323874762648581372151581060829137915317283031125859189485872466518234607014458112066071492306330812338178184496381086790256760125206888759498624492744240453360712754996650849832840265655532721280973827082032773895260181842860083062616459021874967506211290099321304486035040178338869408478531250170063032141171237582207766098218897691067929196925119759845798247533331172584132367769648799087770330498968155426906670655
45,1,484980612760643670585832018202608998312790475397728508555048860716687250443475972962665523896901946487524969751011151419130757693604255669194623602977410426845283799517896354209176126574952194190391675003156886889956274394577662083833655103991076017406714365839033218569559389885637971332659497528743369001777672586508947042748435101893876377831923661030480057967658833033741178415717225703300792259723133508691208591773523931365043536694717911232483482388494385275221498674593248089250385751686425646373217859528268449679069905486243663986454919627803528706280099027332483246136338927304224920163202568067013545908013434963138303573483467064882017264061783171779913609611312504097233685678230940356186126641515771646387120305454787367803629563216389831218866413858033819113629629136335196946026387972665188978271265230535872398060502655494181380467689537819519129253100637703670957136370417893919544867161436215273534249779323972713905052187078883218708486679452782241673038824735343535284630268341775130394077683077352646842947805196979456198678501535180669387433317593173800134253464194445491248928216758303824608190056535997995529112583011114946356764561383919198865152824406208844792529991225479534239907652852844575579086249831
46,4,443886327271001124231571822290662581283233721692308022508688047589585149391052810615286153912970592695165698184124713391987296157960044725708689456639708669970204374104871777068629050021702702337332740042766048749154341368768415049204403149516133755448314777724087103081968185606801034226272399220124790261451831400803209277713351003227624397327776618484570898817286995322881416994145168408298907321386887652104454768710359874188265627197105348919544604921365295785113107108815476401814313680724936946422931368590831254352051471506442028259439183656107438637431847834955786070462449842262982973680096887666089410005130400133997693002679968263272581642937463615904536207289850837530137098341591867841100901372023592443990767368339302922701595636597366087820246403963745235269174868505555498954907619275013933123116721478933917455208832240869508203027839995673982665512412598153032772139294014517800427552623391479805285623822544449692256674916320902106820038638275190653168586739547084542469509839311367817527162973818867123681998216277303192207955770818214374443129067325542066864587367991668999538253302534922879823192413592359133806041820526020017099425272992124129471281711915060036884488100642341470611641078564353587242866675063
47,4,366247770972199193015080089723596380447821883840228575279748200788712166279884829106694751917231168570401501529248388345519460227522110063093234139964913719874436296239507805028893836343136017501983725553967091985740977392579497729582431077004828673478739373098544529868371071805765102749086785941739058612046521380039026041732215805157774185785540025316647466246497261430906631401688952392767689230477105319330442085528450382593384191366319426585299576826408133410739397617753887720424061325258377908378824150965693047942155376020869364487153474399858590374146930320149240258359824984678310805902613527280111361617181900180879117057045407909138856195093480623966284563015724262962704329802848111605574183483147606563476187654935427319453761185636446421812734061111119810044025008438017296922104231416393619138819780592407967944422764878416113082988348914484795956655198577589819631709584551502966635450172970128291719125512752545681938896810669532029693715433875098019699588953370678244000179817541096617556257357076027162608553282495044424555673991674000600547353777011692670566044260270116087990691463830570092086037096599608185840333981149646225650831933079208063639673273127464971897365673202348355142283573610165890001217253626
48,2,403682771804467327307260120289728866914602338373542465749429774875168925349514079468581897724691349110461107619923818706238630551157029041997539481672129970396052387020170229029895433089052094788610293340506558165585861458377825031698485123342336325331926509493556178308019140883189573591921723005728739321081161492276072236411578705600834801232697903596580332490189468797128451751150008820065332061413601129187334580473590895703699719436136081256369091529538939598991306348509090856744315849929293382288315141785393612296189686823350457312405773473186103790615669692306024823999098889190479599190492508410663219532227798877965981451516691274649704827958959761154711989091111386574318718286086318314894945840989202825527387901241671464677347351019828646743677075194740108425413054584160519715425969714089083002900487638112608038979011278388930369250237074974367045041499671153481852505402586474453267184784798763850078211920294504319152249188521932579813090786204683619351585268531530857931083302648262202295642493529903041957928553697702362410818234244985556087381757778325559772323655577164919163846319331071751306317203496401135643220624543788185589183301019204601182985252218272648737826464092375556756737410140001799552158467733
49,3,325421168198342758774016348250685101935876386831019373978804186790407932708474208151978842731070295797243336137247682006428520614793052539927753832185062317883624048867618247084950380204921067836496675515027996730023348210805391611221414390917278891777765201220699010079718381486611942697344643124536852169050892944271397270547919520695059336520797382805390321241094607975145016936548906500862592261568616688149068528738499858982574307174900606263025230912245006394342633910860195374105914516371252717692380098948544748744736177658696183021520391583969263329329003106146808533708027713367825340197635445224021738566443893280932107941667076093421380088114443729354868881534140861222126872729407527798204908977154985507068769662573728759394172358708927010135089688391555638175339632846840666403738460365082638715394973341694711134607740115279166589075730516664932780214137859983002577993699483721846002436435294958049250929976256317542712776946636975297777028258962246475564339736737085149920305209286155791569417531790936726303249221868730495435249492016337495199100294209663185403707813605496044694700483211664980055006199275767632447212216411780958668416819056245763093122138434152160076778500113453932187407501172883117984804939199
50,3,614181038752159137781028760969222003633442506955596485223138406562621675423168154188174826763741894659101091207425845611078274579749861501354593600029239003597352530821406009521643955956634548352089585814597298238699050300349203412206747461447049964362415525692191541885136065343529034316216158854957356726279642542763803888642815824895572630684517760292790376738376335167945958294334599276297587171339191998925543384981143795258591779886105507886167691526948716839057735381153989648161284958588620264981310536737483386896604640028699632365753943749354520000580234682189568303793671952856249272472040253931512573682285568492561123808519435263249118135884090833114912852203563685374303632904688949098375263453797262453043114160929832555322072744934681815660079957639197319624085228753346591279342573751762069117641962369766833235585430689591475223207128368512937470979009654431588557019238209494390979963581851441916466612688247569265696699315903868099686376276031742182945694421406008323360710206289720669109457059002852791040476225850938744495834549361173405807612249235708444354249352321272499805516693660679751210688595595216833196495535372663826680812162864023271162686302213376606679019547084936333197448732706244641593576208290
51,5,406070537292580575132080683742189875502562227938064903280257821897811184727445252469408474510525354665771651061211553590850461807419420823208683323183770343713118749968447843256282124574453168673756146853517986980918095258778868966516496923139677148903229119841982485186166888114888151362404844978215023078168327547127986221258978113230005990978005998805794680656332037734727482822340911364221406024429464183050425349812421019372362419157857865821525572937661791942862920761913529350527210898027823637440904552971763542409112763550080301922688366778320980157711490554675145164533825653166687284394359040822972108941363587583471653815375585808677947794967817035426842659845373121214578919504318465813838684000205779562846993937619406855738294156597720478319597406024534818807981404920452549293372062136110146736869394738811542619958316415947593209233944043567764642203906155804190544816167840367044299202624121767218377121384365016792838592883158160983894029188653370913196890328037616826848648351996177803747372724970961524651586870345478204548836712178530084204384496678889456011025379347842352540656512747511302270769574077048408865619470806260678802397542334830099478118333036622742106984626780794818181432166262676613878544412048
52,4,411332443595530775330936422296882162393558609169471371684988815292112093901183318781450985550906466368738933169526375290385706844028558378194438894066976579412520006034923513923907148875224358733053973141746396655789137091724351451207241019402161616773852264765070573815874248649685806294575297338517123298220835634849445426579707556043493910727461049482463990896659982822738042540386603421576354135556861008938877222676232475574408070141300668812943295594475004635280836086285675907206298149860796134476346346917290576665883766765472013250950011286106136832018317991694429875135341815611769533637877877453149868777803163270393509655867120363894582107509333148408949128110585775613710709263977580025213425546279673873576628889093105391261315185503512758754027564954790677015189702961217813957477504496316270616991109755796713932589542742154723962330910054907810756503927625306458207411902450352137576760522779136211764745974691486630438180800202412856379297575800447569055589449009193480982518569900362934622463907784943676548280191112558392674568708533102644354258132185762161037158318624561346679706148687974456957241278511126038233308452280389398630766300919334543591879948514451448097998179399429471750824137680321690239397678200
53,4,127341892518706197178073323315892430597313184877659070099059129003440502354137944923030034038042050798235858368655864588664570457140184938003267950521727859089520772333591198568866947767617272146209852695100231819275898958029007357880010432987552871753825453998867125639826731499615481832228176556168479805434683262453485792387690098226886124833405934884469966648513457000904220291379968156291145466705270276770485996249707931649801291896797620825341697968814926481678308603206291279858462659285952165227776307150577589861188969609115268718290418827119419483680038726479798379197104584845452694083285120506157429368922899593111011674344898552949849812431648714317464093615926573300360133588201410835339005098184164458785577127559415040158736888033441506154864551339333060087290616532881190289474484050545082569170993541639033788153438031276974130532896431336897367453519893980322412071157214784102452562273569295734004737995843935462355945937380410321090518439733999254411222133380137792915750792422765592126189529384550484848322376874539087601977975863073801988612592678311908303325990144311808249003740349862456131626096496402144975616904551652319139177821262324401021572098155619241934918650729460085969006709046615647545746783961
54,1,302119951045400065106557003623388557440647721665495010426101430027417503121066255784362530280609999962747225578358081682534790357203992565749762880067945066977345386066477171143130897261730248671744319785413881573928687195828847381246863139313678592469477509625917268462195997783742039859631495280849106992691486703522761714295554997645116881513019970895231630017365090428342224280965885699041437801419272586368551261481849125528705455048229967449711543388411684518425288570358384292349243152894082511942720800855914968418464655161686625985617158954482730898345890970805978901709392390229106890094377792117380369772339683981723473469205211209507239685398608086680831546616564302481619089523877256479531693966418101411930593796175135575890026422657798221256919746621812914478694396376674878047404300700185940013272875456239515771906602839712910588963576046148091665691348446733126636874170691877879347758465486696799407649417882936754678695244897904911129946618146982688755515760985382169670183989376134808432536636164154739244681084588368132143803102258522047652839933434928748575233189817596462477035140585431689670430656134588115090555090784252835041104435561300625894008595078856842880561792221524858120762175465573672660557167925
55,3,216817352237967877969979593019722762109022746299308260143373539784426554582747954680918122078356698679585832809321994002930945049248191808913301274068764911163267780260107651064360626475996072441413430572623277891067577773363888275550177625227695822544477470508395999664046901856840912047150533494427063894338562682349175128548208667823637055777962610662211150276297181909740993519382065802145177308048975157117496945553143017156034865947079867977176526781054560441568458003423123094594056864079704558249862392671298597883687509452707766245180682693624464421459630672088054483636166424704009324328423348788362580720417410094933754506844240973426528216270951901891511029564227402078182199390615571062026217002722594684147190054219336708906005135576076021051741127798042490697597934822596166013495804167838230969393450915200142092585754466694287447163470547197061539474452240957272331538692093762414826560763730595672499141922417786914308991753188788546793531831903870882876352813678014473542829092869517537013092120217918616014564848087101999654710496964306606246572727782641512211384246648471082048618809789936447192908228097733335924325788256370108593374498267841278375645856424181612416443905885493295202179061921119993729787599320
56,2,284375977605367367265061986232495312335631362323747628359429147150636635474504712206902265030631251511416164165008014452844440556193636438569843977733884940502523109130060613504942582198768454428622733208282031386644248623481184991578435787786284250312259748536082658980129355693160440668679870915320099592805347952973550046122527683483862474219536394617258433486623682181352441317838511580402450187940348133030187265749165550630758044395018374031716292849290005832715242747961600439223891343185233015962216025937536354914093244770994406376457060072337731394253087841007378123770454979149800904872829684266747291546394831200958409235454284380765503286140686524943203062499966022894021333260155187058536710182742712844397257737104633886913732486463471111767329414177710502900633347867391044061751900870815852971510097641610608857890745611453725712066753651693858811869899332369275121023937212498752309117085927015742884554110579260617304101583870448594149655667997597441705868455769003075226395862671443841262127233571763251363606700230728187744600822704061065024885549511193741409875534209525368219029548394609806039601010006072719660664777349563865680614730164280154181379959428554557388667613124801932200718654113406576538936792307
57,4,141537131511409391987043140582852454059656817648657636811538374586103758762642068109901545750476576480208437312380191064712624470616870062544160103077151724619653160895827933251289797429108721288012909500133116494791940196260187899958555272535352855671179663223194811656080878361820972481092273068230850816270269287292884884717759702113432272456068893728329775869118255843991616715317484325246626957640201857283792286237998146517920939822518890403865269701268921063792105668314120906957906128357525380313510678587772939571681772466165495155542156251586397398383694941362653945337504309822508140340669566933992863014186848763806400230754624932825223807021308616031555602588538124208324233111327544909960732470477139512506706788237559453471448770114431739087089957375310996742341428267740293579557656341507983738804055346772565780060985635056189725189534583716981249394550072080344069831955253717633854813587434833432051346887844499453749052909369988261166199885129045590953666792092993388995101809888428115587198672791653155920570095394904529636332533699907019493372855186590501726665971339935268657869839232291529712227914212919140424284675908522375950772802248674347797441635674562382818642014010948705146543787470350641966941090566
58,2,152538409611465085397517785162947025663494804456774337387500438617235999410310959054158913905911150429299887031900217322117615444111102824884150425938662393410279772439119307675820146581967148042478512140494703119273505465705689226885391687083425743290648201693095415708074775940706521282296595532109847221930110335966984289246079159470650729685531796638547187492921552740639623240317933215379153640919490503820969769489874757035036403120233534983155326227760122740275345842455484452961446005645750514714188070505949865753312720649399212855648363013038458416059508674281588323760896152640454447734525348713843553753915925485616034913735520939083789384040648084047049330073022000414063758703556861283977462835496198806069193961076680870266549388464105045614504128390633005959753250930790394347158629873017808355163440089063627299312319995580655887661072266495513696720239707179722064089337309586344227763795496000599735801182679074748977592208762061103464876531257352327876006406715124039327727024467018686075956574456082581969203267314072577118155695400822323626878144813489152612956220577950665520590661510422651551801591313932423329885582792827195815107768018983863503810382449172249437502694216760020600296645246848298534364140521
59,2,118477389303933175716001881945260395492891589487957771504707285410545853675522021970414934633465408040031563849376797532616057643290850688726217450521960880696011500609971905691780269805413833016986263334601527416355290300088808132805647506132383958299279304438461795897965902142717892325291816296315654614173998544665041696728983269533151275594453937843092186744652718730064695591603545767819748401634717626074685149271559781842061471629435609688078135711329141395144657925765292849449110179260310172646706040624780312731028638148856877086674855676454182114459078110086907612128517163878928948908722638622583342307625375558939516751798002423081905690531161271051704450140722244235831841811409946708783796254191425071288310165111783928431355746938036238201180107412672500011866583784902487316257384774890899273863981887513129475568982650808110649631500182342754247016557419293146941842282865753253084736332560429655603056995372941640712785229309437254421023308500711035063466837405632566281153904595779992724697036967071358381458660233970013784848170690938488614191254450757131831197453316710282605424697263370328515857829153169029165807313915224128123612806980020126333839725077695952983072390987563514673274050202690828775856198066
60,2,221082787483457205074575533300968265881439687318796443041127195067130132328481771565026960945360393703788933857228401241543639329794131183381784063324977029945754368457811679932594594640878573805946705177633057379475906547370581170072649193751408855225608373253398252902693022022253635924879615703513377148210972147852406932375130169069195238708940038043710188385740048874705342121849449274845629487111887994224037251412241931151754391073854450504537826099979707009396162794311453096099320864690738920932108553719167596667703464122910981280698510253524403905459654761053201022518725020190229418707534681041888838820959841908308480631599246601390048190702321272837224356470346411474066105486841491696571488164202238557586985372786555352446310333608399641901184166738801296999633241383588953290975170329761981905560644379604495629259527051344844799995753759692691714963545769284469758381796155367216598406189552071835084627725522424885002520855299501266787690415650242611520620573872288234092677915094336247699719417421877591927672336815723147047476177993428483239449259110457458599392822117563608407369411860583997026285043072732573254795699307443191297268771844728234555066983953568293569682557216804508296912685080267520499712133629
61,3,592266709808971400980269632561868419802108726049849633829080415262707508219300139288581092655197628365827097184685945065650421951709983688491555141593330827490763770332410902428785685927660213713433573679762772791350294724117833713975316184072789312933875510994157664404212922672174559193722952288821736932371782951261426766153047733810195401979362076472999929796694838698203131766182532993787463511040250462274077297154827045419773144847987099229511866048169020670782474779791483985005146448969941238723233532216602182153307807820023711801848229815321864696226290319189024323778509377112968268731377640382421505614871922319940430181223647147751180590571505965069872957659389951160167953666327865241730105525766742543808328043210999451808133340869895098342113710779132845856671850843703092133758808964095057474966281589504776331814238186421946510251432326720363331684052204990911750727711377617062664599648535523219697524445401215492282223496502939011744043648062704360355262212911748028220854821397214600210984142462493936828743072842789556782950266163363697205384535501194951913632388721946946593724085672036683956788195974544463891714198974662553586101948065606366349555238557466025088361482165777403046448693280151720841401857786
62,4,47197447628265759847386852761476552322574227466660196500687898375151958034750828167602102167799384934648370293986559730445284559218271763403943576493638249418123706362308854311613538114478255021315534621762908266040602343903436048014454817077244005724619195648047287008334055454731938711476121314554742519947346327778530710082039252583519770879637535351406806544964346016920633315713839734541727048335010744427131364885895293658227550365361925053089100996152466687953895114410275162984525994127631583656634176964632772096289394488120368093539323831763589060397828153620620907258686743226979014926312556222348397874345355441903836873919863267709590539626236230569254621370952193536786048434546995855589824436401661292186460253256738164941969041801116263365537209249595121173504916199621527609936542343256516955197475902939525040892444551584512797822792299144676407004746040244311118500133649458476691984776450565264441126280337058783731696067780389370475742788959396437984389546055494893950193098333371054248323317303881157784607123820524310029039638025220337181245101451727362489402625160487174215187693243067103084883670723507402537445150048574901229651586873391332735573588489279087891940824210597488737977671258738580695051457670
63,1,384718212447652958505313674521419615219360212371828517735093876307735792835236590623092559801233284685718740031611688906798993835378861237697611812683649530497694136633240850955534261558159951004785660181773507272690898069518632355461576181928885662271524729098147468097118387359746604192875852321792076735595702554886858395725884617711003089340332831430909809327186664354064479571929105276643981545929677465791212872352029999682317377109304743477393226395489298493928442377602514297652062205350377568938093026566734720291810129985199989739493625910649693005458570572854542751310953868290260512641355133052132253073447250973231129901240826325715622995436796996607443185837166694966285622112984059513583159336540967519386139065170017189433136758633853253809677961426682890686931870159213279586296486178625003620661625634723094281524175778912272287404477024918345407596400995626209051593014691885559046588193836981827646409072742406116995074356459243100092434822448673718904774040517100628328026880531499100354131069710347301107230062539838962347426579273327052661557624383238186846916333811936831287360630044209491787067865910653305440262095004535342170391704390560309703433480559462533020202243446269375164123385166917985362669787548
64,3,459025450946665241725412264046740912614685384073101812697856951896454898724006439295860906438921200327051179053983759014408514966576485055087018812380247571619870796230827229452938771391977020017581132686223055491932915294056529571617830582572557360494799820802406262688177161910994404160977638562526526474623730921379168329130079206282254012089262818187535351306445839124727078774332032416247375503757297421295096071483369712634958327992618415986203929019868504527438174769938853596345179062455082064846124201657037540564156593164169500699169821101944387304248593302285412237157517864187625882908420011162898314940975711993377673789871849670577052862254224917930529064826821333867979904000638039036518737608912260106117633873520346205267191686092445695863674572420518603825012498317903635418864662509802531294725504721761705374678009445277911409350567247074291084911719504191959279322134050363332805051283612915524825149378393491741831384731033327029653530976262336972484375091638811911069291376441598505103038653299618564257724773270007445698874481214736214304678295154634331564497591569835528164326048376616739278449583527274434038269759437070224790520868208676240982627235944423025088102334236033523515534043764747564626474963924
65,2,83086597402628539044005295077173318023285297802564058845109316557569747196173563923680100866351908738169182534527392232635323145123632163464621658864534586714009846211596079842461480528290793899158475858260355008983262613753245594294171627419691902614965896104260125300471733931018261702214424265178092149189000961058674523237380038445037616009944660177764016084526353444136816544890941944812473317935472715462136131224743912958830454587808091316108557913978935303043943566548422751030875393817089447129924419743308329141783543691136531200997669628430861496581006811282492289205576271005631103439750392856891443046214261606240021683273820964117866042918574451061473337420702941747760521734272088044935225000361312249007010129233168780763704653849856501174894615794987691336646525076236371992979886253818285299585137950414508962081071715995777973860153539620428257998721772409487660520264781734414091105670135199243152230123681930384737250334494938271123509585063440882902791051314785763213405198924528560661465645533288882519753740992667491776395930908737922077152564900439513994415957520605563316897108478052605207969740457281881529410234780003649925460683960522869014000059042263170708041628332461445421863425239035405895360723976
